_id,b_name,b_addr1,b_addr2,b_city,b_state,b_zip,b_url,b_phone,b_email,b_description,b_hasFood,b_hasTour,b_logoImage,b_rating,b_drinkList,b_hours,b_breweryNum,b_version,b_lat,b_long,b_hasGrowler,b_hasTap,b_utId
ObjectId(5665d22bd6fac18aa1995701),Foley Brothers Brewing,79 Stone Mill Dm Road,,Brandon,VT,5733,,(802) 465-8413,brewinginvermont@gmail.com,"Family run, 7-barrel brewery with a wide-ranging selection of hand crafted ales. Tasting room open Wed-Sun 11 am – 5 pm.",TRUE,FALSE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/11/brewery_profile_pic.jpg,,,,11,0,43.8116259,-73.076523,TRUE,TRUE,48533
ObjectId(5665d2e6d6fac18aa1995702),Four Quarters Brewing,150 West Canal Street,,Winooski,VT,5404,www.fourquartersbrewing.com,(802) 862-0775,brian@fourquartersbrewing.com,"7-barrel brewery, 5 minute walk from the Winooski circle. Specializing in Belgian and barrel-aged beers. See our website for tasting room hours",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/12/brewery_profile_pic.jpg,,,,12,0,44.4905707,-73.19276,TRUE,TRUE,115672
ObjectId(5665d3b5d6fac18aa1995703),14th Star Brewing,133 North Main Street,,Saint Albans,VT,5478,14thstarbrewing.com,(802) 528-5988,info@14thstarbrewing.com," 41 Lower Newton Street St Albans, VT 802.393.1459 14th Star Brewing History books tell us that local Vermonter and beer enthusiast Ethan Allen was a leader in the effort to make Vermont the fourteenth star on the U.S. flag in 1791. And those textbooks are right; especially about the 1791 part. Today, in Franklin County, Vermont, Army veteran Steve Gagner is honoring his home state and passion – brewing great beer – with 14th Star Brewing Co. 14th Star is Steve’s 1,200-square-foot nanobrewery on Lower Newton Street, in St. Albans City. We currently produce about 28 barrels of beer a month (about 900 gallons) in small batches from original recipes. What makes 14th Star’s beers stand out? Well, the care with which we handle our beer throughout the brewing process, coupled with our desire to brew the best beer humanly possible. More than that, however, we are dedicated to strengthening our local community and the Vermont Beer community as a whole. We understand that we are part of a tradition of brewing fantastic beer here in Vermont and our goal is to continue to push the bar higher. But that’s not it. Not entirely. You see – at this size, we can brew whatever we want to brew, without the shackles of order fulfillment from a large distributor. In 9 months, we’ve brewed a Pale Ale, a Honey IPA (with honey sourced from right here in Franklin County), a Cascade IPA, a Golden Wheat, a Roasted Porter, an Amber Ale (Valor), a Citrus APA (1493), a Brown Ale, and a Winter Warmer. These beers pop into our rotation as we get the itch to brew them. What makes our beer special is that we can let our imaginations go – brewing beers that many in the area have never tried or heard about. We’re also open to suggestions. If you have a suggestion on a beer we should brew, shoot us an email: steve”at”14thstarbrewing.com. We look forward to continuing to provide the greater St Albans area with quality craft beer. Cheers!",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/1/brewery_profile_pic.jpg,0,DUMMY,,1,0,44.814919,-73.0822352,FALSE,FALSE,34708
ObjectId(5665d3b7d6fac18aa1995704),Frost Beer Works,171 Commerce Street,,Hinesburg,VT,5461,www.frostbeerworks.com,(949) 945-4064,mike@frostbeerworks.com,"Frost Beer Works is a 7-barrel brewery in Hinesburg. We use top-notch raw materials and effective brewery processes to produce delicious, well-balanced beers. The types of beer we make are the beers we like to drink: the hoppy, flavorful ales of Vermont.",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/13/brewery_profile_pic.jpg,,,,13,0,44.335381,-73.108999,FALSE,FALSE,192673
ObjectId(5665d3b8d6fac18aa1995705),Harpoon Brewery,336 Ruth Carney Drive,,Windsor,VT,5089,www.harpoonbrewery.com,(802) 674-5491,info@harpoonbrewery.com,"We started the Harpoon Brewery in 1986 because—like today—we loved beer and wanted more quality choices. There was only one problem: we were beer lovers, not brewers. We knew what we wanted to drink, but we needed some help actually brewing it. So we enlisted our first brewer, took over some warehouse space on the Boston waterfront, and began introducing fresh, local craft beer to Boston drinkers. We tried to do it in a way that captured the spirit of fun that had brought us to beer in the first place. From that warehouse, surrounded by fish companies on the docks of South Boston (neighboring what is now the Seaport District), we couldn’t imagine that craft brewing would become what it has today. We still remember our days on the other side of the bar, and have spent as much time spreading the joy of beer drinking as we have focusing on recipes, ingredients, and brewing equipment. Hopefully our sense of gratitude is reflected in both the quality of the beer and the spirit of fun and enjoyment surrounding our beer and breweries. We invite all of you to visit our Boston brewery, where it all began, and our beautiful brewery in Windsor, Vermont. We look forward to having a beer with you soon!",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/14/brewery_profile_pic.jpg,,,,14,0,43.5130201,-72.4016913,TRUE,TRUE,634
ObjectId(5665d3b8d6fac18aa1995706),Hermit Thrush Brewery,29 High Street,Suite 101C,Brattleboro,VT,5301,www.hermitthrushbrewery.com,(802) 257-2337,info@​hermitthrushbrewery​.com,"Hermit Thrush Brewery is the brainchild of President and Brewmaster Chrisophe Gagné and his beer-loving friend and Vice President Avery Schwenk. Together, Christophe and Avery are dedicated to providing top quality Belgian inspired ales to the residents and visitors of Brattleboro, Vermont. Through the use of historical brewing processes, oak casks, and new green technologies, we will be making exciting, yet accessible beer while keeping an eye on minimizing our environmental impact. We will be using Vermont-made wood pellet steam boilers powered by local, sustainable biomass fuel to craft our product. We'll be reducing energy waste by working with Efficiency Vermont to design a super-efficient cooler and by limiting packaging by predominantly using refillable growlers for beer-to-go. Our beer will be aged primarily in oak casks, liming the use of stainless steel, while providing unique flavors and aging potential. Hermit Thrush Brewery will be providing tastings, local art, brewery tours and beer-to-go for those visiting the site. We currently plan on opening in early November or December, so keep posted!",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/15/brewery_profile_pic.jpg,,,,15,0,42.8534875,-72.5596126,TRUE,TRUE,132352
ObjectId(5665d3b9d6fac18aa1995707),Hill Farmstead Brewery,403 Hill Road,,Greensboro,VT,5842,www.hillfarmstead.com,(802) 533-7450,info@hillfarmstead.com,"Hill Farmstead Brewery is the culmination of many years of travel and insight—of experience and education—of friendships and explorations. The brewery is the revival and continuation of 220 years of Hill heritage and hand crafted history in North Greensboro, Vermont. Its logo is retrieved from a sign that once hung in Aaron Hill’s (our great(x3) grandfather) tavern, just up the hill, in the early 1800s.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/16/brewery_profile_pic.jpg,,,,16,0,44.6066677,-72.2634093,TRUE,TRUE,2562
ObjectId(5665d3bad6fac18aa1995708),Hop'n Moose Brewing Company,41 Center Street,,Rutland,VT,5701,www.hopnmoose.com,(802) 775-7063,hopnmoose@gmail.com,"pening our doors on March 28th 2014, we became the first and only brewery in Rutland, VT. As Rutland's first brewpub we pride ourselves on three things; our unique hand crafted ales and lagers, our amazing wood fired pizzas, and our family friendly environment. With a kid's menu, wine list and full bar we have something the whole family can enjoy! ",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/17/brewery_profile_pic.jpg,,,,17,0,43.606701,-72.9775604,TRUE,FALSE,131340
ObjectId(5665d3bad6fac18aa1995709),J'Ville Brewery,201 VT Road 112,,Jacksonville,VT,5342,,(802) 368-2226,,We just didn't have enough to do with making wine. Fortunately our Winemaker Janice is also a major beer nut. So of course we have opened a Vermont Craft Brewery. We will be crafting a variety of brews and rotating seasonal selections all year. Currently selling our beer by the growler.,TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/18/brewery_profile_pic.jpg,,,,18,0,42.7946248,-72.8199815,FALSE,FALSE,210275
ObjectId(5665d3bbd6fac18aa199570a),Kingdom Brewery,353 Coburn Hill Road,,Newport,VT,5855,,(802) 334-7096,kingdombrewing@yahoo.com,"Kingdom Brewing is located high atop Coburn Hill in the town of Newpoer Center, just a half mile past the northern most point of Route 100 on 105 East. The northern most point of Route 100 can be found about 4 miles southwest of Lake Memphremagog.  Brian and Jenn Cook created Kingdom Brewing with the intent to brew terrific craft beers from a wide variety of locally produced ingredients. Starting with American grown grains, they add locally produced ingredients such as maple sap, spruce tips or apples to create a variety of light to robust seasonal beers.  In addition to their homegrown philosophy, the Cooks run Kingdom Brewing in the most environmentally friendly way possible. One common problem for many brewers is finding a way to dispose of the mash left over from the brewing process. The Black Angus beef herd on the Cook’s farm happily dispose of the spent grains for them. Additionally, the brewery uses a geo-thermal type of fermentation cooling system.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/19/brewery_profile_pic.jpg,,,,19,0,44.9416519,-72.192128,TRUE,TRUE,25068
ObjectId(5665d3bbd6fac18aa199570b),Lawson's Finest Liquids,,,Warren,VT,5674,www.lawsonsfinest.com,(802) 272-8436,,"Lawson’s Finest is a small batch artisanal microbrewery located in Warren, Vermont. Our goal is to provide local brews of the highest quality and freshness, while crafting unique new recipes and emulating the best of widely appreciated styles. Our beer is custom crafted in small batches at a modest production facility tucked in the woods, on the east flank of Lincoln Mountain.",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/20/brewery_profile_pic.jpg,,,,20,0,-1,-1,FALSE,FALSE,3758
ObjectId(5665d3bbd6fac18aa199570c),Long Trail Brewing,5520 US Rte. 4,,Bridgewater Corners,VT,5035,www.longtrail.com,(802) 672-5011,,"Proud producer of extraordinary Fine Ales! Our Visitor Center Pub, Tour and Retail Shop are open daily from 10am till 7pm. Lunch is served from 11am till 7pm.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/21/brewery_profile_pic.jpg,,,,21,0,43.5884226,-72.6595934,TRUE,TRUE,801
ObjectId(5665d3bcd6fac18aa199570d),Lost Nation Brewing,87B Old Creamery Road,,Morrisville,VT,5661,www.lostnationbrewing.com,(802) 851-8041,,"We are located at 254 Wilkins St (Just off Route 100) in Morrisville, VT. Slightly off the beaten path, we are proud to offer some of the most finely crafted beers in the great state of Vermont. Pair any of our fine selections with any of the house made, locally sourced items off of our delicious menu and we have no doubt that you will leave satisfied! Please call for directions and daily specials...802~851~8041",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/22/brewery_profile_pic.jpg,,,,22,0,44.5694978,-72.602928,TRUE,TRUE,63762
ObjectId(5665d3bcd6fac18aa199570e),Madison Brewing,428 Main Street,,Bennington,VT,5201,hwww.madisonbrewingco.com,(802) 442-7397,info@madisonbrewingco.com,"Madison Brewing Company Pub & Restaurant is the most popular place in Bennington, VT for craft beer and mouth-watering food. The Madisons have deep ties to the community, and in the early 1990s converted an old storefront in Bennington's historic downtown into the area's first brew pub.  From those humble beginnings, the brewery has developed six regular brews plus a seasonal brew. To complement the brewing, we offer lunch and dinner as well as Madison's own home-made chips - a local favorite. Now into its second decade of operation, the brew pub has become a Bennington fixture and a favorite among locals and tourists.  At Madison Brewing Company, we have a full bar in addition to our craft-brewed beers. Our customers are the top priority, and we work hard to make you feel comfortable and welcomed while enjoying our delicious offerings. We also have a kids menu, so the whole family can come dine with us! It is important to us that we keep the family business a family-friendly establishment, so the atmosphere at Madison Brewing Company isn't your average pub-feel.  We encourage you to stop in and discover for yourself everything Madison Brewing Company Pub & Restaurant has to offer!",TRUE,FALSE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/23/brewery_profile_pic.jpg,,,,23,0,42.8784329,-73.1963535,FALSE,FALSE,9164
ObjectId(5665d3bdd6fac18aa199570f),Magic Hat Brewing Company,5 Bartlett Bay Road,,South Burlington,VT,5403,www.magichat.net,(802) 658-2739,,"A performance in every bottle. Magic Hat Brewing Co, S. Burlington, VT.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/24/brewery_profile_pic.jpg,,,,24,0,44.428968,-73.213463,TRUE,TRUE,812
ObjectId(5665d3bdd6fac18aa1995710),McNeills Pub and Brewery,90 Elliot Street,,Brattleboro,VT,5301,,,,"GREAT BEER, GREAT 10'' PIZZAS FROM NEW HAVEN (TONY Z) $3 PINT BLOND MONDAYS-THURSDAYS - FAMILY BAR- DISCO DANCE FROM THE '70-'80 EVERY FRIDAY NIGHT AND SALSA MUSIC EVERY SATURDAY NIGHT 9:30 PM AND MORE..........",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/25/brewery_profile_pic.jpg,,,,25,0,-1,-1,FALSE,FALSE,4765
ObjectId(5665d3bed6fac18aa1995711),Northshire Brewery,108 County Street,,Bennington,VT,5201,www.northshirebrewery.com/,(802) 681-0201,,"We focus on family, friends and making the best beer we can. We started brewing together 5 years ago as a hobby. Thanks to the encouragement of family and friends who loved our beer Northshire Brewery was born. Here at Northshire Brewery we're just trying to make a living doing what we love, brewing beer",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/26/brewery_profile_pic.jpg,,,,26,0,42.8847269,-73.2011152,TRUE,TRUE,12297
ObjectId(5665d3bed6fac18aa1995712),Otter Creek Brewing,793 Exchange Street,,Middlebury,VT,5753,ottercreekbrewing.com,(802) 388-0727,info@ottercreekbrewing.com,"Otter Creek is a proud leader in the American Craft Brewing Revolution. At Otter Creek we've been creating exciting, award-winning craft brews for more than 20 years. The beers we brew and the menu offerings from our pub are handcrafted with fresh and local ingredients.   With a focus on sustainability, we have managed to dramatically reduce our contribution to the waste stream and are always looking for new ways to improve on this front. Our spent hops and yeast are donated to local farmers for use as an alternative fertilizer, while our spent grain feeds local dairy cows.   Our 2010 brewery expansion was done with an attention to energy efficiency. Major investment and expansion continues into 2014. The addition of six new fermenting tanks has added 30,000 barrels to our annual capacity, while a new, state-of-the-art filling machine allows us to efficiently meet the demands of our growing operation.   During this growth, we remain committed to sustainably crafting our award-winning beer. ""You don't have to compromise your passion for great beer to promote environmental practices,"" says Mike Gerhart, Otter Creek brewmaster. ""We prove that every day here at Otter Creek.""",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/28/brewery_profile_pic.jpg,,,,28,0,44.0293542,-73.1724592,FALSE,FALSE,959
ObjectId(5665d3bed6fac18aa1995713),Prohibition Pig,23 South Main Street,,Waterbury,VT,5676,www.prohibitionpig.com,(802) 244-4120,info@prohibitionpig.com,"Located in Waterbury, the food and beverage crossroads, we feature New England’s largest and best curated selection of craft beer, proper cocktails, eclectic wines with a full menu featuring barbecue, vegetarian and cozy American fare.  Here at Prohibition Pig, we are a locally owned restaurant dedicated to bringing you the freshest, highest quality food possible. We make everything in house, fresh every day and use locally raised, all-natural meats, sustainably caught seafood and local produce when in season. We compost all biomass and recycle everything possible and are proud members of the Vermont Fresh Network.",TRUE,FALSE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/29/brewery_profile_pic.jpg,,,,29,0,44.3371394,-72.7560944,FALSE,FALSE,73115
ObjectId(5665d3bfd6fac18aa1995714),Queen City Brewing Company,703 Pine Street,,Burlington,VT,5401,www.queencitybrewery.com,(802) 540-0280,,"Tasting Room Hours: Tuesday, Wednesday, and Thursday: Noon to 8PM, Friday and Saturday: Noon to 10PM, Sunday: Noon to 7PM, (Closed on Monday). Stop by for a pint, a flight of samples, or a growler to go. Cheers!",TRUE,FALSE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/30/brewery_profile_pic.jpg,,,,30,0,44.4595889,-73.2151426,TRUE,TRUE,99985
ObjectId(5665d3bfd6fac18aa1995715),Rock Art Brewery,632 Laporte Road,Route 100,Morrisville,VT,,www.rockartbrewery.com,(802) 888-9400,info@rockartbrewery.com,"Visit our tasting room and gift shop just north of Stowe for samples and fresh growler fills. Also offering cans, bottles & kegs.   Check out the facility from the viewing area upstairs to see where our all our brews are made.  Retail shop with Vermont foods, unique Vermont Artists and fun Rock Art swag. Open daily Monday – Saturday. Check out Facebook for hours and info.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/31/brewery_profile_pic.jpg,,,,31,0,44.5581922,-72.6088839,TRUE,TRUE,1062
ObjectId(5665d3c0d6fac18aa1995716),Simple Roots Brewing,51 Arlington Court,,Burlington,VT,5408,www.simplerootsbrewing.com,,simplerootsbrewing@gmail.com,"Simple Roots Brewing is husband and wife team Dan Ukolowicz and Kara Pawlusiak. Dan homebrewed for close to fifteen years and shared his beer with family and friends and then decided to take the next step by enrolling at the American Brewers Guild in Salisbury, VT. We opened Simple Roots in May 2014 and are in our first year of production. Currently we are a nano-brewery, we converted our garage into a 3 barrel brew house so it is no longer a garage but a fully licensed commercial brewery. Due to our size and location we do not have a tasting room and cannot host visitors but look for us in the future to grow! Our goal is to expand our business (eventually we would like to move out of the garage) and make brewing our full time jobs. Simple Roots is about life’s simple pleasures like hanging out with friends and family while playing cards or lawn games and of course drinking great, subtle, quaffable beer! Or as we like to say, “Making memories one beer at a time.”  ",TRUE,,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/32/brewery_profile_pic.jpg,,,,32,0,-1,-1,FALSE,FALSE,133731
ObjectId(5665d3ded6fac18aa1995717),Stone Corral Brewery,83 Huntington Road,1,Richmond,VT,5477,www.stonecorral.com,(802) 434-5787,bret@stonecorral.com,"Stone Corral Brewery is a craft micro brewery located in Richmond, Vermont. Our goal is to provide our local community with fresh, great tasting beer. Check out stonecorral.com for information about our beer",FALSE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/33/brewery_profile_pic.jpg,,,,33,0,44.398887,-73.0015183,FALSE,TRUE,81749
ObjectId(5665d3dfd6fac18aa1995718),Switchback Brewing,160 Flynn Ave,,Burlington,VT,5406,www.switchbackvt.com,(802) 651-4114,,"Locally owned and operated in Burlington’s South End since 2002. Visit our brewery on Flynn Ave to learn about our unique brewing process! Join us in the Tap Room and check out the bottling line while enjoying a refreshing pint or sample flight. Always on tap, our flagship Switchback Ale, Connector IPA, select Rotating Specials. Brewery tours are offered every Saturday at 1pm and 2pm. Tour size is limited; please call to make a reservation. For current Tap Room hours visit our website.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/34/brewery_profile_pic.jpg,,,,34,0,44.4562079,-73.22074,FALSE,TRUE,1227
ObjectId(5665d3dfd6fac18aa1995719),Trapp Family Lodge,1333 Luce Hill Road,,Stowe,VT,5672,www.vontrappbrewing.com,(802) 253-0900,," 700 Trapp Hill Road Stowe, VT 802.253.8512 Trapp Family Lodge   More than a decade ago Johannes von Trapp started thinking about brewing his own beer, for guests of the resort. His dream was to produce an American version of the tasty Lager he has enjoyed over the years on his trips to the countryside near his ancestral Austrian home. Johannes’ dream became reality in the Spring of 2010, with the opening of the Trapp Family Brewery. The modest facility (60,000 or so gallons a year) is located in the lower level of the DeliBakery (formerly the Austrian Tea Room), where draughts of the heavenly concoction will be available year round.",TRUE,TRUE,http://ec2-52-38-43-166.us-west-2.compute.amazonaws.com/img/breweries/37/brewery_profile_pic.jpg,,,,37,0,44.474247,-72.7360934,TRUE,FALSE,246747
